Pariticipant,Topic,Goal,Stage.of.Analysis,Mention,Decision,Strategy,Reason,Impact,Threat.to.Validity,Need
3,Economics of healthcare policy,Recommend spending priorities for healthcare providers,Meta-analysis,Firsthand,Conduct a meta-analysis to inform treatment or intervention decisions,Reduce,Standard practice,Direct,,
3,Economics of healthcare policy,Recommend spending priorities for healthcare providers,Quantitative Analysis,Firsthand,Use cost utility models to recommend organizational spending priorities,Reduce,Standard practice,Direct,,
3,Economics of healthcare policy,Recommend spending priorities for healthcare providers,Quantitative Analysis,Firsthand,Pull data from a wide variety of literature sources,Reduce,Comprehensiveness,Direct,,
3,Economics of healthcare policy,Recommend spending priorities for healthcare providers,Quantitative Analysis,Firsthand,Use a quality-adjusted life year for unit of utility,Reduce,Standard practice,Indirect,,
3,Economics of healthcare policy,Recommend spending priorities for healthcare providers,Data collection,Firsthand,Conduct new randomized control trial,Reduce,Comprehensiveness,Direct,,
3,Economics of healthcare policy,Recommend spending priorities for healthcare providers,Data collection,Firsthand,Use best available data from the literature (instead of engaging in new data collection) even when it is not perfectly matched to the question at hand,Suppress,Limited resources,Direct,Research is sometimes constrained in time and funding; this is often a trade-off with accuracy of estimates from models,
3,Economics of healthcare policy,Recommend spending priorities for healthcare providers,Data collection,Firsthand,Use retrospective analysis of claims database to estimate costs,Reduce,Comprehensiveness,Direct,,
3,Economics of healthcare policy,Recommend spending priorities for healthcare providers,Data collection,Firsthand,Conduct behavioral study to elicit utility from participants,Reduce,Comprehensiveness,Direct,,
3,Economics of healthcare policy,Recommend spending priorities for healthcare providers,Data collection,Firsthand,Use retrospective database analysis of epidemiological information to estimate probabilities of events,Reduce,Comprehensiveness,Direct,,
3,Cost analysis of simulator vs airplane training,Recommend most utilitarian training program,Data collection,Hypothetical,Ask stakeholders for accounting of direct costs as a rough estimate for utility model,Reduce,Limited availability of information,Direct,,
3,Economics of healthcare policy,Recommend spending priorities for healthcare providers,Quantitative Analysis,Firsthand,Use a benchmark for an acceptable level of value when interpreting the results of cost utility model,Reduce,Standard practice,Direct,,
3,Cost analysis of simulator vs airplane training,Recommend most utilitarian training program,Quantitative Analysis,Hypothetical,Have a human decision-maker judge whether a non-utility outcome is worth the cost,Reduce,Limited alternatives,Indirect,"Without relying on utility as a construct, cost-outcome tradeoffs become harder to interpret",
3,Economics of healthcare policy,Recommend spending priorities for healthcare providers,Literature review,Firsthand,Apply PICOTS framework to guide the scope of literature review,Reduce,Consistency,Direct,Reviews with poor scoping are unwieldy,
3,Economics of healthcare policy,Recommend spending priorities for healthcare providers,Literature review,Hypothetical,Select a period of time in which to search the literature,Reduce,Limited alternatives,Direct,,
3,Economics of healthcare policy,Recommend spending priorities for healthcare providers,Literature review,Hypothetical,Select the kinds of studies that will be covered in the review,Reduce,Domain knowledge,Direct,,
3,Economics of healthcare policy,Recommend spending priorities for healthcare providers,Literature review,Hypothetical,Strictly follow the scope set from the outset of the review,Acknowledge,Consistency,Direct,Not following the scope of a review leads to getting mired down in indecision,
3,Economics of healthcare policy,Recommend spending priorities for healthcare providers,Defining questions and objectives,Firsthand,Negotiate study scope as a review team,Acknowledge,Confidence through consensus,Direct,,
3,Cost analysis of simulator vs airplane training,Recommend most utilitarian training program,Literature review,Hypothetical,Don't follow PICOTS framework where the framework is irrelevant,Acknowledge,Research questions,Direct,,
3,Science communication,Software to help healthcare payers understand scientific literature,Literature review,Hypothetical,Rate the quality of evidence in each study,Reduce,Standard practice,Indirect,,
3,Science communication,Software to help healthcare payers understand scientific literature,Literature review,Hypothetical,Rate the quality of the overall body of evidence on each outcome of interest,Reduce,Standard practice,Indirect,,
3,Economics of healthcare policy,Recommend spending priorities for healthcare providers,Literature review,Firsthand,Have two reviewers independently judge inclusion/exclusion based on titles,Acknowledge,Standard practice,Direct,,
3,Economics of healthcare policy,Recommend spending priorities for healthcare providers,Literature review,Firsthand,Have two reviewers independently judge inclusion/exclusion based on abstracts,Acknowledge,Standard practice,Direct,,
3,Economics of healthcare policy,Recommend spending priorities for healthcare providers,Literature review,Firsthand,Have two independent reviews of each article,Acknowledge,Standard practice,Indirect,,
3,Economics of healthcare policy,Recommend spending priorities for healthcare providers,Data collection,Firsthand,Manage evidence from each study in one spreadsheet,Reduce,Preference,Indirect,,
3,Economics of healthcare policy,Recommend spending priorities for healthcare providers,Literature review,Hypothetical,"Conduct rapid review, skipping double coding, quality rating, etc.",Reduce,Limited time and attention,Indirect,The gold standard procedures for systematic review are burdensome,
3,Impact of health information exchanges in emergency rooms,Improve efficiencies in care,Data collection,Firsthand,"Code one binary independent variable (e.g., Was HIE accessed by staff?) and a second categorical independent variable for context (e.g., What kind of staff accessed the HIE?)",Reduce,Domain knowledge,Direct,Data collection evidence tables are tedious to create,NLP to pull information from studies into evidence tables
3,Impact of health information exchanges in emergency rooms,Improve efficiencies in care,Data collection,Firsthand,"Code confounding variables (e.g., age, race, sex, comorbidities, setting)",Reduce,Domain knowledge,Direct,Data collection evidence tables are tedious to create,NLP to pull information from studies into evidence tables
3,Impact of health information exchanges in emergency rooms,Improve efficiencies in care,Data collection,Firsthand,"Code multiple outcome variables (e.g., Did patient undergo repeated imaging? Was the number of imaging tests reduced?)",Reduce,Domain knowledge,Direct,Data collection evidence tables are tedious to create,NLP to pull information from studies into evidence tables
3,Impact of health information exchanges in emergency rooms,Improve efficiencies in care,Data collection,Firsthand,Code method used to analyze outcomes in each study,Reduce,Domain knowledge,Direct,Data collection evidence tables are tedious to create,NLP to pull information from studies into evidence tables
3,Impact of health information exchanges in emergency rooms,Improve efficiencies in care,Data collection,Firsthand,"Rate risk of bias and quality as inverses of each other on an ordinal scale (i.e., low, medium, high)",Reduce,Standard practice,Indirect,,
3,Economics of healthcare policy,Recommend spending priorities for healthcare providers,Literature review,Hypothetical,Convert unlike units to similar format before aggregating,Reduce,Standard practice,Direct,,
3,Economics of healthcare policy,Recommend spending priorities for healthcare providers,Literature review,Hypothetical,Don't combine incommensurate units of effect size,Reduce,Conceptual clarity,Direct,,
3,Economics of healthcare policy,Recommend spending priorities for healthcare providers,Literature review,Hypothetical,Don't meta-analyze studies that look at different populations,Reduce,Conceptual clarity,Direct,,
3,Economics of healthcare policy,Recommend spending priorities for healthcare providers,Literature review,Hypothetical,Control for study design as a covariate in meta-regression,Reduce,Comprehensiveness,Direct,Literature is often too sparse for meta-regression,
3,Economics of healthcare policy,Recommend spending priorities for healthcare providers,Literature review,Hypothetical,Use only one covariate for every ten studies,Reduce,Statistical power,Direct,Literature is often too sparse for meta-regression,
3,Economics of healthcare policy,Recommend spending priorities for healthcare providers,Literature review,Hypothetical,Use clinical perspective to prioritize covariates when there is not enough data to include them all in model,Acknowledge,Domain knowledge,Direct,,
3,Science communication,Software to help healthcare payers understand scientific literature,Literature review,Hypothetical,Don't look at randomized control trials because they study a different population than the population of interest,Reduce,Domain knowledge,Direct,,
3,Science communication,Software to help healthcare payers understand scientific literature,Literature review,Hypothetical,Forestall acting on insufficient evidence,Acknowledge,Limited availability of information,Indirect,,
3,Science communication,Software to help healthcare payers understand scientific literature,Literature review,Hypothetical,Conduct value of information analysis to determine whether it is worthwhile to conduct a new study to resolve insufficient evidence,Reduce,Limited availability of information,Direct,,
3,Impact of asthma education on children's visits to emergency department,Reduce children's visits to the emergency department,Communication,Firsthand,Present results primarily in forest plot,Reduce,Standard practice,Indirect,,
3,Impact of asthma education on children's visits to emergency department,Reduce children's visits to the emergency department,Defining questions and objectives,Firsthand,Break review into primary question about overall effect of treatment and sub-questions about the comparative effectiveness of different subtypes of that treatment,Acknowledge,Domain knowledge,Direct,,
3,Impact of asthma education on children's visits to emergency department,Reduce children's visits to the emergency department,Communication,Firsthand,"In forest plot, include table of means, standard deviations, and sample sizes for both the intervention and control arms of each study",Acknowledge,Standard practice,Direct,,
3,Impact of asthma education on children's visits to emergency department,Reduce children's visits to the emergency department,Communication,Firsthand,Report standardized effects in table to accompany forest plot,Reduce,Standard practice,Indirect,,
3,Impact of asthma education on children's visits to emergency department,Reduce children's visits to the emergency department,Communication,Firsthand,Report effect size estimates both in table and in forest plot,Reduce,Standard practice,Indirect,,
3,Impact of asthma education on children's visits to emergency department,Reduce children's visits to the emergency department,Communication,Firsthand,Use extent of CIs for visual significance testing,Reduce,Ease of understanding,Indirect,,
3,Impact of asthma education on children's visits to emergency department,Reduce children's visits to the emergency department,Communication,Firsthand,Don't size marks on forest plot to reflect study weight,Suppress,Limited support from software tools,Indirect,,
3,Impact of asthma education on children's visits to emergency department,Reduce children's visits to the emergency department,Meta-analysis,Firsthand,Include group with two studies in meta-analytical model,Reduce,Research questions,Direct,,
3,Impact of asthma education on children's visits to emergency department,Reduce children's visits to the emergency department,Communication,Firsthand,Include heterogeneity statistics in forest plot,Reduce,Standard practice,Indirect,Heterogeneity statistics are opaque statistical constructs that may require guidance to interpret,
3,Impact of asthma education on children's visits to emergency department,Reduce children's visits to the emergency department,Meta-analysis,Firsthand,Don't combine heterogeneous studies because average will not reflect sample,Reduce,Standard practice,Direct,,
3,Impact of asthma education on children's visits to emergency department,Reduce children's visits to the emergency department,Meta-analysis,Hypothetical,Exclude groups of studies that are too small/heterogeneous to support inference,Reduce,Statistical power,Direct,,
3,Impact of asthma education on children's visits to emergency department,Reduce children's visits to the emergency department,Meta-analysis,Firsthand,Use Bayesian framework for meta-analysis,Reduce,Standard practice,Direct,,
3,Impact of asthma education on children's visits to emergency department,Reduce children's visits to the emergency department,Meta-analysis,Firsthand,Use vague or non-informative priors,Reduce,Limited availability of information,Direct,,
3,Impact of asthma education on children's visits to emergency department,Reduce children's visits to the emergency department,Meta-analysis,Firsthand,Use Cauchy distribution for prior when non-informative prior would not converge,Reduce,Domain knowledge,Direct,,
3,Impact of asthma education on children's visits to emergency department,Reduce children's visits to the emergency department,Meta-analysis,Firsthand,Make modeling decisions in before visualizing results,Reduce,Standard practice,Direct,,
3,Impact of asthma education on children's visits to emergency department,Reduce children's visits to the emergency department,Meta-analysis,Firsthand,Model based on knowledge of topic not a set of statistical rules,Acknowledge,Domain knowledge,Direct,,
3,Impact of asthma education on children's visits to emergency department,Reduce children's visits to the emergency department,Meta-analysis,Firsthand,Don't take results at face value because numbers will show you what you want them to,Acknowledge,Domain knowledge,Indirect,Background knowledge of statistical models is necessary for proper use and interpretation,
3,Impact of asthma education on children's visits to emergency department,Reduce children's visits to the emergency department,Meta-analysis,Firsthand,Use forest plots as an illustrations of results,Reduce,Standard practice,Indirect,,
3,Pharmacology,Compare effectiveness of different drugs,Meta-analysis,Firsthand,Use network meta-analysis to make indirect comparisons between treatment conditions,Reduce,Domain knowledge,Direct,,
3,Pharmacology,Compare effectiveness of different drugs,Meta-analysis,Firsthand,Use network diagrams to support reasoning about pairwise comparisons in network meta-analysis,Reduce,Ease of understanding,Indirect,,
3,Pharmacology,Compare effectiveness of different drugs,Meta-analysis,Firsthand,Scale network edges by precision of comparison,Reduce,Preference,Indirect,,
3,Pharmacology,Compare effectiveness of different drugs,Meta-analysis,Firsthand,Scale network nodes by number of studies,Reduce,Standard practice,Indirect,,
3,Impact of asthma education on children's visits to emergency department,Reduce children's visits to the emergency department,Meta-analysis,Firsthand,Use funnel plots to assess publication bias,Reduce,Standard practice,Indirect,,
3,Impact of asthma education on children's visits to emergency department,Reduce children's visits to the emergency department,Meta-analysis,Firsthand,Use Egger's test to assess publication bias,Reduce,Standard practice,Indirect,,
3,Impact of asthma education on children's visits to emergency department,Reduce children's visits to the emergency department,Communication,Firsthand,Calculate predicted impact of intervention based on model results,Reduce,Ease of understanding,Indirect,,
3,Impact of asthma education on children's visits to emergency department,Reduce children's visits to the emergency department,Communication,Firsthand,Prepare one sentence summary of each effect of interest,Reduce,Ease of understanding,Indirect,,
3,Impact of asthma education on children's visits to emergency department,Reduce children's visits to the emergency department,Communication,Firsthand,"Point out where evidence is insufficient to support inference, but say what the inference would be based on available evidence",Acknowledge,Caution,Indirect,,
3,Impact of asthma education on children's visits to emergency department,Reduce children's visits to the emergency department,Communication,Firsthand,Use visualizations instead of tables where possible,Reduce,Ease of understanding,Indirect,,
3,Impact of asthma education on children's visits to emergency department,Reduce children's visits to the emergency department,Communication,Firsthand,Convert effect size to original units of measurement in order to communicate with wide audience,Reduce,Ease of understanding,Indirect,Standardized mean differences are hard to interpret,
3,Impact of asthma education on children's visits to emergency department,Reduce children's visits to the emergency department,Communication,Firsthand,Don't convert units of odds ratio of relative risk for communication to academic audiences,Reduce,Standard practice,Indirect,,
3,Impact of asthma education on children's visits to emergency department,Reduce children's visits to the emergency department,Communication,Firsthand,Always end write-up by framing big picture in the way that is interpretable to widest possible audience,Reduce,Standard practice,Indirect,,
3,Impact of medications on moderate to severe persistent asthma measured by a battery of outcome measures,Recommend best possible treatment,Communication,Firsthand,Present an overview of process details so that stakeholders know where the data come from and what they mean,Acknowledge,Conceptual clarity,Indirect,Process details are not shown in forest plot but must be understood for proper interpretation,
3,Impact of medications on moderate to severe persistent asthma measured by a battery of outcome measures,Recommend best possible treatment,Data collection,Firsthand,Include only a particular type of clinical trial in review,Reduce,Research questions,Direct,,
3,Impact of medications on moderate to severe persistent asthma measured by a battery of outcome measures,Recommend best possible treatment,Data collection,Firsthand,Rely on third party to curate a sample of studies for review,Reduce,Limited time and attention,Indirect,,
3,Impact of medications on moderate to severe persistent asthma measured by a battery of outcome measures,Recommend best possible treatment,Data collection,Firsthand,Include only patients with minimum duration and intensity of symptoms,Reduce,Research questions,Direct,,
3,Impact of medications on moderate to severe persistent asthma measured by a battery of outcome measures,Recommend best possible treatment,Data collection,Firsthand,Include only patients above minimum age,Reduce,Research questions,Direct,,
3,Impact of medications on moderate to severe persistent asthma measured by a battery of outcome measures,Recommend best possible treatment,Data collection,Firsthand,Include only patients with symptoms uncontrolled by a particular medication,Reduce,Research questions,Direct,,
3,Impact of medications on moderate to severe persistent asthma measured by a battery of outcome measures,Recommend best possible treatment,Data collection,Firsthand,Look at a battery of outcomes across studies,Acknowledge,Comprehensiveness,Direct,,
3,Impact of medications on moderate to severe persistent asthma measured by a battery of outcome measures,Recommend best possible treatment,Meta-analysis,Firsthand,Run a separate meta-analytic model for each outcome measure; don't combine,Reduce,Conceptual clarity,Direct,,
3,Impact of medications on moderate to severe persistent asthma measured by a battery of outcome measures,Recommend best possible treatment,Communication,Firsthand,Separate forest plots for each outcome measure/model,Reduce,Ease of understanding,Indirect,,
3,Impact of medications on moderate to severe persistent asthma measured by a battery of outcome measures,Recommend best possible treatment,Data collection,Firsthand,Include a set range of study durations which are clinically meaningful to combine,Reduce,Domain knowledge,Direct,,
3,Impact of medications on moderate to severe persistent asthma measured by a battery of outcome measures,Recommend best possible treatment,Meta-analysis,Firsthand,Fit meta-analytic model using Newton-Raphson maximum likelihood estimation procedure,Reduce,Standard practice,Direct,,
3,Impact of medications on moderate to severe persistent asthma measured by a battery of outcome measures,Recommend best possible treatment,Communication,Hypothetical,Tailor the level of detail in presentation to audience,Reduce,Ease of understanding,Indirect,,
3,Impact of medications on moderate to severe persistent asthma measured by a battery of outcome measures,Recommend best possible treatment,Communication,Hypothetical,Present flow chart of information management in review,Reduce,Ease of understanding,Indirect,,
3,Impact of medications on moderate to severe persistent asthma measured by a battery of outcome measures,Recommend best possible treatment,Communication,Hypothetical,Present network diagram to show network meta-analysis,Reduce,Ease of understanding,Indirect,,
2,Naval flight training for spatial disorientation,Recommend best possible training,Defining questions and objectives,Firsthand,Conduct a task or learning analysis to evaluate potential training programs,Reduce,Research questions,Direct,,
2,Naval flight training for spatial disorientation,Recommend best possible training,Literature review,Firsthand,Study literature to get a better understanding of pilot spatial disorientation,Acknowledge,Comprehensiveness,Indirect,,
2,Naval flight training for spatial disorientation,Recommend best possible training,Defining questions and objectives,Firsthand,Hold scoping/alignment meeting with client to figure out what they are trying to accomplish,Reduce,Limited control of research objectives,Direct,,
2,Naval flight training for spatial disorientation,Recommend best possible training,Defining questions and objectives,Firsthand,Conduct classroom/training observation to get a sense of the issues at stake,Reduce,Comprehensiveness,Direct,Sometimes what clients think they need is not always what they need,
2,Naval flight training for spatial disorientation,Recommend best possible training,Defining questions and objectives,Firsthand,Focus on defining objectives rather than hypotheses,Reduce,Standard practice,Indirect,,
2,Naval flight training for spatial disorientation,Recommend best possible training,Defining questions and objectives,Firsthand,Document existing training capabilities and operational performance requirements to guide analysis,Acknowledge,Standard practice,Indirect,,
2,Naval flight training for spatial disorientation,Recommend best possible training,Defining questions and objectives,Firsthand,Interview Navy personnel to survey current practices and trainings in research and development,Reduce,Comprehensiveness,Direct,,
2,Naval flight training for spatial disorientation,Recommend best possible training,Literature review,Firsthand,Use papers provided through interviews with other researchers to seed literature search,Reduce,Research questions,Direct,,
2,Naval flight training for spatial disorientation,Recommend best possible training,Literature review,Firsthand,Use multiple online databases and libraries accessed through affiliation with the Navy to conduct literature search,Reduce,Comprehensiveness,Direct,,
2,Naval flight training for spatial disorientation,Recommend best possible training,Literature review,Firsthand,Pull article metadata and abstracts into Excel to examine evidence,Reduce,Limited support from software tools,Indirect,,
2,Naval flight training for spatial disorientation,Recommend best possible training,Literature review,Firsthand,Start literature review by downloading papers with widest relevant scope,Acknowledge,Comprehensiveness,Direct,,
2,Naval flight training for spatial disorientation,Recommend best possible training,Literature review,Firsthand,Break literature review into three questions: How bad is the problem? What are the causal factors? What has already been done to address the problem?,Reduce,Research questions,Direct,,
2,Naval flight training for spatial disorientation,Recommend best possible training,Literature review,Firsthand,Don't use library of affiliated University because there is already enough evidence,Suppress,Limited time and attention,Direct,,
2,Naval flight training for spatial disorientation,Recommend best possible training,Literature review,Firsthand,Include study abstracts by relevance to research objective,Reduce,Research questions,Direct,,
2,Naval flight training for spatial disorientation,Recommend best possible training,Literature review,Firsthand,Look closely at studies included in prior meta-analyses to expand literature search,Reduce,Comprehensiveness,Direct,,
2,Naval flight training for spatial disorientation,Recommend best possible training,Literature review,Firsthand,Categorize studies by commercial vs military flight settings,Reduce,Research questions,Direct,,
2,Naval flight training for spatial disorientation,Recommend best possible training,Literature review,Firsthand,"Categorize studies by the type of airplane (e.g., fixed-wing or rotary-wing)",Reduce,Research questions,Direct,,
2,Naval flight training for spatial disorientation,Recommend best possible training,Literature review,Firsthand,"Evaluate study quality in terms of coherence of methodology, statistical analysis, and findings",Acknowledge,Comprehensiveness,Indirect,,
2,Naval flight training for spatial disorientation,Recommend best possible training,Communication,Firsthand,Summarize the literature review in a written report,Acknowledge,Ease of understanding,Direct,,
2,Naval flight training for spatial disorientation,Recommend best possible training,Communication,Firsthand,Break down literature chronologically to reflect history of research vs current practices,Reduce,Ease of understanding,Indirect,,
2,Naval flight training for spatial disorientation,Recommend best possible training,Communication,Firsthand,Present findings from large NATO study of training practices,Reduce,Comprehensiveness,Direct,,
2,Naval flight training for spatial disorientation,Recommend best possible training,Communication,Firsthand,Break down literature based on classroom instruction vs simulator training,Reduce,Research questions,Indirect,,
2,Naval flight training for spatial disorientation,Recommend best possible training,Qualitative analysis,Firsthand,Separate phases of analysis into different spreadsheets,Reduce,Preference,Indirect,,
2,Naval flight training for spatial disorientation,Recommend best possible training,Qualitative analysis,Firsthand,Borrow from existing theoretical frameworks to characterize what the key factors are that contribute to spatial disorientation in flight,Reduce,Conceptual clarity,Direct,,
2,Naval flight training for spatial disorientation,Recommend best possible training,Qualitative analysis,Firsthand,Take chunks of information from various sources and put them into buckets to find patterns and trends and consolidate the evidence,Reduce,Consistency,Direct,,
2,Naval flight training for spatial disorientation,Recommend best possible training,Qualitative analysis,Firsthand,Analyze raw data from mishap reports using theoretical framework,Reduce,Consistency,Direct,,
2,Naval flight training for spatial disorientation,Recommend best possible training,Meta-analysis,Firsthand,Don't meta-analyze any of the data from studies in the review,Suppress,Limited time and attention,Direct,No time for quantitative aggregation when just seeking a quick practical answer,
2,Naval flight training for spatial disorientation,Recommend best possible training,Data collection,Firsthand,Conduct training situation analysis where personnel are surveyed about what is wrong and how to improve it,Reduce,Standard practice,Direct,,
2,Naval flight training for spatial disorientation,Recommend best possible training,Data collection,Firsthand,Gather information on practical constraints that limit possible recommendations,Reduce,Limited alternatives,Direct,,
2,Naval flight training for spatial disorientation,Recommend best possible training,Data collection,Firsthand,Have workshops to gather information on tasks and what skills are involved,Reduce,Standard practice,Direct,,
2,Naval flight training for spatial disorientation,Recommend best possible training,Data collection,Firsthand,"Survey personnel for ratings of task difficulty, importance and frequency, skill decay to plug into DIF model",Reduce,Standard practice,Direct,,
2,Naval flight training for spatial disorientation,Recommend best possible training,Quantitative Analysis,Firsthand,Develop criteria for what needs to be trained based on training priority output from DIF model,Reduce,Standard practice,Direct,,
2,Naval flight training for spatial disorientation,Recommend best possible training,Data collection,Firsthand,Use mind maps for brainstorming,Acknowledge,Ease of understanding,Indirect,Software licences are hard to get in the Navy,
2,Naval flight training for spatial disorientation,Recommend best possible training,Communication,Firsthand,Use diagrams to illustrate conceptual models,Reduce,Ease of understanding,Direct,,Tools should be compatible with tools already in use
2,Naval flight training for spatial disorientation,Recommend best possible training,Communication,Firsthand,Use peer review to evaluate quality of report,Acknowledge,Confidence through consensus,Indirect,,
2,Naval flight training for spatial disorientation,Recommend best possible training,Communication,Firsthand,Don't use available formal numeric assessment on quality of report,Suppress,Limited time and attention,Indirect,,
2,Naval flight training for spatial disorientation,Recommend best possible training,Communication,Firsthand,Get customer feedback on quality of report,Acknowledge,Confidence through consensus,Indirect,,
2,Naval flight training for spatial disorientation,Recommend best possible training,Communication,Firsthand,"Submit a report summarizing objectives, scope, methodology, results, and recommendation",Acknowledge,Standard practice,Direct,,
2,Naval flight training for spatial disorientation,Recommend best possible training,Communication,Firsthand,Present brief on recommendations,Reduce,Standard practice,Indirect,,
2,Naval flight training for spatial disorientation,Recommend best possible training,Quantitative Analysis,Firsthand,Provide information on multiple alternatives in a cost-benefit analysis,Acknowledge,Comprehensiveness,Direct,,
2,Naval flight training for spatial disorientation,Recommend best possible training,Communication,Firsthand,Submit report in writing and spreadsheets instead of using software provided by Navy for sharing training analysis and task analysis,Suppress,Standard practice,Indirect,,
2,Naval flight training for spatial disorientation,Recommend best possible training,Quantitative Analysis,Firsthand,Contract out certain parts of the analysis,Reduce,Limited time and attention,Indirect,,
2,Naval flight training for spatial disorientation,Recommend best possible training,Communication,Firsthand,Use established data item descriptions to provide consistent structure to reports,Reduce,Standard practice,Indirect,,
2,Naval flight training for spatial disorientation,Recommend best possible training,Communication,Secondhand,Ask supervisor how to structure reports,Reduce,Confidence through consensus,Indirect,,
2,Naval flight training for spatial disorientation,Recommend best possible training,Quantitative Analysis,Firsthand,Report on frequencies of incidents with no further analysis,Suppress,Limited time and attention,Direct,,
2,Naval flight training for spatial disorientation,Recommend best possible training,Communication,Firsthand,Acknowledge the limitations of self-report data collection,Acknowledge,Caution,Indirect,,
2,Naval flight training for spatial disorientation,Recommend best possible training,Communication,Firsthand,Use caveats to communicate limitations of analysis,Acknowledge,Caution,Direct,,
2,Naval flight training for spatial disorientation,Recommend best possible training,Communication,Firsthand,Recommend follow-up studies to resolve unaddressed questions,Acknowledge,Comprehensiveness,Indirect,Navy may want to buy something new when current equipment may suffice,
2,Naval flight training for spatial disorientation,Recommend best possible training,Communication,Firsthand,"Report frequencies in tables, visualizations, and text",Reduce,Standard practice,Indirect,,
2,Naval flight training for spatial disorientation,Recommend best possible training,Defining questions and objectives,Firsthand,Tailor approach to analysis based on the constraints placed on the project by funders,Suppress,Limited control of research objectives,Direct,Person funding a project has their own agenda which precludes results of analysis,
2,Naval flight training for spatial disorientation,Recommend best possible training,Data collection,Firsthand,"Change questions of standard survey to accommodate expectations of subject matter expert (e.g., flight instructor)",Suppress,Limited control of research objectives,Direct,"Subject matter experts (e.g., flight instructors) can impose their expectations on the study",
2,Naval flight training for spatial disorientation,Recommend best possible training,Qualitative analysis,Firsthand,Allocate trainings to types of media rather than design best possible media for each training,Suppress,Limited control of research objectives,Direct,Program funding project selected training media prior to study,
6,Combat resilience for teams of soldiers,Improve training to prevent casualties in combat,Defining questions and objectives,Firsthand,Further explore aspects of prior work to improve combat resilience within teams of soldiers,Reduce,Domain knowledge,Direct,,
6,Combat resilience for teams of soldiers,Improve training to prevent casualties in combat,Literature review,Firsthand,Conduct literature review to inform hypotheses and build up the background for a project proposal,Reduce,Comprehensiveness,Direct,,
6,Combat resilience for teams of soldiers,Improve training to prevent casualties in combat,Defining questions and objectives,Firsthand,Build hypotheses and experiment around the development of training,Reduce,Research questions,Direct,,
6,Combat resilience for teams of soldiers,Improve training to prevent casualties in combat,Defining questions and objectives,Firsthand,Form hypotheses by conjecturing how findings of other work apply to your specific setting,Reduce,Domain knowledge,Direct,,
6,Combat resilience for teams of soldiers,Improve training to prevent casualties in combat,Data collection,Firsthand,Run new studies to provide proof of concept,Reduce,Standard practice,Direct,,
6,Combat resilience for teams of soldiers,Improve training to prevent casualties in combat,Communication,Firsthand,Write final reports based on data collection and analysis to circulate findings within the military,Acknowledge,Standard practice,Direct,,
6,Combat resilience for teams of soldiers,Improve training to prevent casualties in combat,Communication,Firsthand,Get funding and adoption of training through demonstrations to higher-ups who are invited to attend trainings,Reduce,Ease of understanding,Indirect,,
6,Combat resilience for teams of soldiers,Improve training to prevent casualties in combat,Communication,Firsthand,Give formal presentations at conferences to communicate work outside military,Reduce,Standard practice,Indirect,,
6,Combat resilience for teams of soldiers,Improve training to prevent casualties in combat,Communication,Firsthand,Don't focus on communicating the scientific process to military field personnel,Suppress,Limited tolerance for uncertainty or scientific process,Indirect,"Field personnel in the military often don't understand the scientific process, nor do they care about the mechanisms of evaluation",
6,Combat resilience for teams of soldiers,Improve training to prevent casualties in combat,Data collection,Firsthand,Collect behavioral data through questionnaires,Reduce,Research questions,Direct,,
6,Combat resilience for teams of soldiers,Improve training to prevent casualties in combat,Data collection,Firsthand,Collect physiological data through heart rate monitors and saliva samples,Reduce,Research questions,Direct,,
6,Combat resilience for teams of soldiers,Improve training to prevent casualties in combat,Data collection,Firsthand,Have both researchers and leadership among field personnel explain the importance of compliance with measurements,Acknowledge,Limited tolerance for uncertainty or scientific process,Indirect,Soldiers get frustrated with repeated behavioral measures in the field,
6,Combat resilience for teams of soldiers,Improve training to prevent casualties in combat,Data collection,Firsthand,Stop measuring changes in performance in response to training once the training has moved to implementation and transition,Suppress,Limited tolerance for uncertainty or scientific process,Direct,Higher-ups have the final say on when researchers are allowed to collect data,
6,Combat resilience for teams of soldiers,Improve training to prevent casualties in combat,Literature review,Secondhand,Overlook best practices in literature review because they take longer to do,Suppress,Limited time and attention,Indirect,Everyone conducts literature review slightly differently,
6,Combat resilience for teams of soldiers,Improve training to prevent casualties in combat,Data collection,Firsthand,Use paper based questionnaires,Suppress,Limited support from software tools,Indirect,,Need streamlined way to conduct digital behavioral measures in the field
6,Combat resilience for teams of soldiers,Improve training to prevent casualties in combat,Data collection,Firsthand,Try using tablets to administer behavioral measures,Reduce,Limited support from software tools,Indirect,,Need streamlined way to conduct digital behavioral measures in the field
6,Combat resilience for teams of soldiers,Improve training to prevent casualties in combat,Data collection,Firsthand,Have a researcher check the quality of questionnaire responses on paper based measures,Acknowledge,Comprehensiveness,Indirect,Paper based measures are prone to human error and lost data,
6,Combat resilience for teams of soldiers,Improve training to prevent casualties in combat,Data collection,Firsthand,Recruit intact squads of military field personnel to participate in study,Reduce,Research questions,Direct,Recruiting participants is difficult especially when inclusion criteria are strict to accommodate highly applied contexts,
6,Combat resilience for teams of soldiers,Improve training to prevent casualties in combat,Data collection,Secondhand,Recruit college students to participate in study,Reduce,Standard practice,Direct,,
6,Combat resilience for teams of soldiers,Improve training to prevent casualties in combat,Data collection,Firsthand,Recruit individual military personnel to participate in study,Reduce,Research questions,Direct,Recruiting participants is difficult especially when inclusion criteria are strict to accommodate highly applied contexts,
